order_id,customer_name,age,gender,city,order_date,product_name,category,unit_price,quantity,email,payment_method,status
ORD-10537,Maham Raza,60.0,Male,Islamabad,2025-02-06,Headphones,Accessories,9238.84,1,maham.raza29@gmail.com,EasyPaisa,Pending
ORD-10016,Maham Sheikh,34.0,Female,Sialkot,2024-06-18,Smart Watch,Accessories,11754.36,4,maham.sheikh17@gmail.com,Bank Transfer,Pending
ORD-10620,Hamza Sheikh,18.0,Female,Multan,2025-08-11,Monitor,Electronics,44713.92,3,hamza.sheikh90@gmail.com,EasyPaisa,Returned
ORD-10254,Ahmed Ahmed,56.0,Male,Multan,2025-05-22,Keyboard,Accessories,4363.75,2,ahmed.ahmed33@gmail.com,Cash,Pending
ORD-10527,Hina Butt,37.0,Male,Rawalpindi,2024-01-25,Monitor,Electronics,41632.93,2,hina.butt42@gmail.com,Bank Transfer,Returned
ORD-10404,Hassan Butt,26.0,Male,Peshawar,2025-11-19,Mouse,Accessories,3029.1,2,hassan.butt80@gmail.com,Bank Transfer,Cancelled
ORD-10276,Maham Khan,24.0,Male,Faisalabad,2025-03-11,Smart Watch,Accessories,12629.17,1,maham.khan98@gmail.com,Cash,Returned
ORD-10336,Hassan Butt,24.0,Male,Lahore,2026-03-16,Smartphone,Electronics,70899.0,1,hassan.butt89@gmail.com,EasyPaisa,Returned
ORD-10607,Fatima Butt,25.0,Male,Karachi,2024-09-27,Monitor,Electronics,39706.52,1,fatima.butt74@gmail.com,EasyPaisa,Returned
ORD-10108,Sara Butt,38.0,Male,Islamabad,2025-07-28,Laptop,Electronics,154602.08,2,sara.butt61@gmail.com,EasyPaisa,Cancelled
ORD-10323,Talha Butt,63.0,Female,Multan,2025-01-26,Printer,Office,33447.79,2,talha.butt81@gmail.com,Bank Transfer,Returned
ORD-10033,Ayesha Malik,18.0,Female,Karachi,2024-02-15,Tablet,Electronics,47544.19,3,ayesha.malik82@gmail.com,JazzCash,Pending
ORD-10468,Iqra Nawaz,50.0,Female,Gujranwala,2026-02-21,Smart Watch,Accessories,13638.65,1,iqra.nawaz36@gmail.com,Card,Pending
ORD-10619,Ahmed Malik,49.0,Male,Lahore,2024-01-20,Mouse,Accessories,3016.62,2,ahmed.malik74@gmail.com,Cash,Returned
ORD-10417,Iqra Khan,24.0,Male,Peshawar,2024-03-25,Keyboard,Accessories,4340.28,1,iqra.khan38@gmail.com,Bank Transfer,Completed
ORD-10075,Ahmed Butt,56.0,Male,Peshawar,2025-09-12,Printer,Office,33776.28,2,ahmed.butt16@gmail.com,EasyPaisa,Returned
ORD-10343,Hassan Sheikh,25.0,Female,Gujranwala,2025-04-29,Mouse,Accessories,2626.69,4,hassan.sheikh82@gmail.com,EasyPaisa,Returned
ORD-10314,Danish Ahmed,42.0,Female,Karachi,2026-02-27,Smartphone,Electronics,86719.05,1,danish.ahmed53@gmail.com,EasyPaisa,Cancelled
ORD-10143,Zainab Iqbal,41.0,Female,Faisalabad,2024-06-11,Printer,Office,32300.63,1,zainab.iqbal57@gmail.com,EasyPaisa,Returned
ORD-10007,Hassan Raza,52.0,Male,Karachi,2024-06-24,Smartphone,Electronics,71196.71,2,hassan.raza90@gmail.com,EasyPaisa,Returned
ORD-10482,Hassan Sheikh,48.0,Male,Lahore,2026-06-18,Smartphone,Electronics,82139.05,1,hassan.sheikh51@gmail.com,EasyPaisa,Completed
ORD-10365,Ayesha Nawaz,19.0,Female,Faisalabad,2026-01-08,Monitor,Electronics,46499.13,2,ayesha.nawaz52@gmail.com,JazzCash,Returned
ORD-10494,Bilal Shah,62.0,Male,Rawalpindi,2025-04-19,Smart Watch,Accessories,0.11767,5,bilal.shah40@gmail.com,Cash,Pending
ORD-10100,Ahmed Iqbal,62.0,Female,Multan,2025-03-10,Usb Drive,Storage,2032.22,1,ahmed.iqbal45@gmail.com,JazzCash,Pending
ORD-10387,Hamza Shah,28.0,Male,Karachi,2025-10-26,Smart Watch,Accessories,12025.6,2,hamza.shah89@gmail.com,Cash,Pending
ORD-10119,Anum Sheikh,55.0,Female,Gujranwala,2025-10-10,Headphones,Accessories,9319.09,1,anum.sheikh9@gmail.com,Bank Transfer,Cancelled
ORD-10181,Hassan Nawaz,58.0,Female,Faisalabad,2025-05-24,Usb Drive,Storage,2145.08,2,hassan.nawaz54@gmail.com,EasyPaisa,Returned
ORD-10503,Hassan Nawaz,47.0,Female,Quetta,2026-01-19,Printer,Office,30979.07,1,hassan.nawaz24@gmail.com,Bank Transfer,Pending
ORD-10531,Maham Iqbal,19.0,Female,Quetta,2025-11-15,Headphones,Accessories,9170.12,2,maham.iqbal80@gmail.com,Bank Transfer,Completed
ORD-10528,Anum Sheikh,30.0,Female,Karachi,2024-08-27,Laptop,Electronics,139221.69,4,anum.sheikh57@gmail.com,Cash,Completed
ORD-10145,Bilal Malik,59.0,Female,Karachi,2024-11-13,Headphones,Accessories,8182.65,3,bilal.malik75@gmail.com,Bank Transfer,Completed
ORD-10004,Hassan Ahmed,40.0,Female,Lahore,2025-01-02,Smartphone,Electronics,80472.98,1,hassan.ahmed14@gmail.com,EasyPaisa,Completed
ORD-10635,Anum Ahmed,58.0,Male,Karachi,2025-04-20,Printer,Office,29554.49,1,anum.ahmed98@gmail.com,Cash,Pending
ORD-10357,Ayesha Butt,63.0,Male,Faisalabad,2025-01-04,Smart Watch,Accessories,11322.91,1,ayesha.butt5@gmail.com,JazzCash,Returned
ORD-10270,Anum Nawaz,37.0,Male,Karachi,2024-09-01,Headphones,Accessories,8199.02,1,anum.nawaz11@gmail.com,JazzCash,Pending
ORD-10609,Talha Shah,42.0,Female,Peshawar,2025-04-04,Mouse,Accessories,2830.11,4,talha.shah2@gmail.com,Cash,Completed
ORD-10041,Bilal Shah,30.0,Female,Lahore,2025-08-13,Printer,Office,29659.15,1,bilal.shah78@gmail.com,EasyPaisa,Completed
ORD-10082,Fahad Nawaz,29.0,Female,Peshawar,2026-02-20,Mouse,Accessories,2903.95,2,fahad.nawaz3@gmail.com,EasyPaisa,Cancelled
ORD-10303,Sara Nawaz,18.0,Male,Karachi,2025-06-05,Smartphone,Electronics,79477.3,1,sara.nawaz87@gmail.com,Card,Completed
ORD-10638,Fatima Khan,64.0,Female,Quetta,2024-08-28,Printer,Office,30506.99,1,fatima.khan63@gmail.com,Bank Transfer,Cancelled
ORD-10114,Fahad Butt,56.0,Male,Faisalabad,2026-03-18,Monitor,Electronics,45267.03,2,fahad.butt30@gmail.com,Card,Pending
ORD-10566,Maryam Javed,61.0,Female,Rawalpindi,2024-04-26,Monitor,Electronics,43250.84,2,Unknown,EasyPaisa,Completed
ORD-10515,Omar Javed,46.0,Female,Lahore,2025-04-08,Mouse,Accessories,2547.85,1,omar.javed96@gmail.com,Cash,Cancelled
ORD-10049,Talha Iqbal,25.0,Female,Karachi,2026-05-18,Printer,Office,32648.84,1,talha.iqbal7@gmail.com,EasyPaisa,Cancelled
ORD-10132,Bilal Malik,26.0,Female,Peshawar,2024-06-28,Smart Watch,Accessories,11860.8,2,bilal.malik1@gmail.com,Card,Cancelled
ORD-10274,Fatima Malik,36.0,Male,Peshawar,2024-08-13,Laptop,Electronics,159632.37,2,fatima.malik73@gmail.com,Card,Cancelled
ORD-10559,Danish Nawaz,38.0,Female,Unknown,2024-11-02,Laptop,Electronics,154588.88,1,danish.nawaz47@gmail.com,Cash,Returned
ORD-10079,Sana Malik,27.0,Male,Lahore,2024-09-29,Keyboard,Accessories,4404.88,2,sana.malik70@gmail.com,Card,Cancelled
ORD-10526,Zainab Malik,23.0,Male,Gujranwala,2025-08-12,Tablet,Electronics,52161.85,1,Unknown,EasyPaisa,Cancelled
ORD-10289,Omar Malik,37.0,Male,Gujranwala,2025-01-11,Smartphone,Electronics,75117.05,1,omar.malik94@gmail.com,Card,Pending
ORD-10175,Iqra Khan,53.0,Male,Quetta,2025-04-23,Printer,Office,33342.0,2,iqra.khan47@gmail.com,Cash,Cancelled
ORD-10210,Omar Butt,55.0,Male,Faisalabad,2024-11-05,Mouse,Accessories,2619.06,4,omar.butt58@gmail.com,JazzCash,Pending
ORD-10153,Talha Malik,46.0,Male,Gujranwala,2024-10-06,Smartphone,Electronics,72686.4,2,talha.malik37@gmail.com,JazzCash,Pending
ORD-10374,Omar Khan,18.0,Female,Peshawar,2025-01-17,Printer,Office,33608.37,1,omar.khan5@gmail.com,Card,Completed
ORD-10591,Hina Malik,43.0,Male,Faisalabad,2025-06-06,Laptop,Electronics,134928.59,2,hina.malik75@gmail.com,Cash,Cancelled
ORD-10065,Bilal Butt,47.0,Female,Rawalpindi,2024-09-06,Mouse,Accessories,2693.06,3,bilal.butt12@gmail.com,Cash,Returned
ORD-10144,Bilal Nawaz,53.0,Female,Faisalabad,2024-04-06,Monitor,Electronics,40580.12,1,Unknown,JazzCash,Completed
